,date,open,close,high,low,volume,code
226,2002-08-13,-113.058,-113.078,-113.058,-113.117,1704.13,600519
227,2002-08-14,-113.004,-113.004,-113.004,-113.078,2472.46,600519
228,2002-08-15,-113.004,-113.047,-113.004,-113.049,1259.55,600519
229,2002-08-16,-113.098,-113.039,-113.025,-113.137,2240.98,600519
230,2002-08-19,-113.041,-113.066,-113.019,-113.076,1108.96,600519
231,2002-08-20,-113.08,-113.019,-113.002,-113.08,2372.11,600519
232,2002-08-21,-113.0,-113.019,-113.0,-113.045,1694.51,600519
233,2002-08-22,-113.0,-112.965,-112.928,-113.019,4220.34,600519
234,2002-08-23,-112.971,-112.955,-112.931,-112.971,2431.41,600519
235,2002-08-26,-112.971,-113.053,-112.971,-113.06,2631.49,600519
236,2002-08-27,-113.053,-113.029,-113.019,-113.078,2584.41,600519
237,2002-08-28,-113.021,-113.086,-112.976,-113.098,3765.82,600519
238,2002-08-29,-113.088,-113.1,-113.062,-113.107,2899.37,600519
239,2002-08-30,-113.086,-113.103,-113.086,-113.113,1886.68,600519
240,2002-09-02,-113.107,-113.117,-113.098,-113.127,2341.3,600519
241,2002-09-03,-113.117,-113.072,-113.023,-113.117,2277.01,600519
242,2002-09-04,-113.072,-113.08,-113.041,-113.113,1788.69,600519
243,2002-09-05,-113.094,-113.137,-113.094,-113.137,2893.69,600519
244,2002-09-06,-113.127,-113.127,-113.105,-113.156,1859.62,600519
245,2002-09-09,-113.137,-113.182,-113.127,-113.191,2613.9,600519
246,2002-09-10,-113.195,-113.273,-113.176,-113.297,8057.12,600519
247,2002-09-11,-113.301,-113.371,-113.273,-113.469,9845.29,600519
248,2002-09-12,-113.391,-113.377,-113.342,-113.436,1716.59,600519
249,2002-09-13,-113.389,-113.359,-113.356,-113.406,1071.73,600519
250,2002-09-16,-113.369,-113.449,-113.358,-113.451,3923.51,600519
251,2002-09-17,-113.44,-113.41,-113.375,-113.465,2613.49,600519
252,2002-09-18,-113.393,-113.416,-113.393,-113.444,1616.06,600519
253,2002-09-19,-113.43,-113.391,-113.361,-113.475,3650.15,600519
254,2002-09-20,-113.397,-113.444,-113.397,-113.455,1372.98,600519
255,2002-09-23,-113.453,-113.502,-113.444,-113.508,2121.1,600519
256,2002-09-24,-113.508,-113.59,-113.502,-113.606,7148.54,600519
257,2002-09-25,-113.59,-113.528,-113.479,-113.59,3557.09,600519
258,2002-09-26,-113.516,-113.58,-113.516,-113.584,2168.07,600519
259,2002-09-27,-113.563,-113.551,-113.518,-113.59,1505.45,600519
260,2002-10-08,-113.557,-113.571,-113.557,-113.6,3589.77,600519
261,2002-10-09,-113.586,-113.639,-113.576,-113.668,2458.71,600519
262,2002-10-10,-113.645,-113.629,-113.58,-113.655,1087.67,600519
263,2002-10-11,-113.649,-113.668,-113.606,-113.684,1217.05,600519
264,2002-10-14,-113.606,-113.66,-113.606,-113.68,1095.29,600519
265,2002-10-15,-113.664,-113.629,-113.627,-113.674,2065.94,600519
266,2002-10-16,-113.629,-113.604,-113.549,-113.631,2261.33,600519
267,2002-10-17,-113.604,-113.666,-113.586,-113.684,1564.8,600519
268,2002-10-18,-113.684,-113.819,-113.649,-113.87,4635.33,600519
